ID,Name,Sex,AGE_15_20,AGE_20_25,AGE_25_30,AGE_30_35,AGE_35_40,AGE_40_and_above,Height_Below_200,Height_Above_200,Weight_50_75,Weight_75_100,Weight_above_100,Medal
1,A Dijiang,1,0,1,0,0,0,0,1,0,0,1,0,0
2,Tamara Abalde Daz,0,1,0,0,0,0,0,1,0,1,0,0,0
3,Alessandro Abbio,1,0,0,1,0,0,0,1,0,0,1,0,0
4,Ahmed El-Sayed Abdel Hamid Mobarak,1,0,1,0,0,0,0,1,0,0,1,0,0
5,Amir Abdel Meguid,1,0,1,0,0,0,0,1,0,1,0,0,0
6,Amir Abdel Meguid,1,0,0,1,0,0,0,1,0,1,0,0,0
7,Awad Abdel Nabi Awad,1,1,0,0,0,0,0,1,0,0,1,0,0
8,Awad Abdel Nabi Awad,1,0,1,0,0,0,0,1,0,0,1,0,0
9,Alaa El-Din Abdoun,1,0,1,0,0,0,0,1,0,0,1,0,0
10,Julius Shareef Abdur-Rahim,1,0,1,0,0,0,0,0,1,0,0,1,3
11,Shigeaki Abe,1,0,1,0,0,0,0,1,0,1,0,0,0
12,Shigeaki Abe,1,0,0,1,0,0,0,1,0,1,0,0,0
13,Essameldin Abou El-Nein,1,0,0,1,0,0,0,0,1,0,0,1,0
14,Pedro Abreu Pascal,1,0,1,0,0,0,0,1,0,0,1,0,0
15,"Alejandro ""lex"" Abrines Redondo",1,0,1,0,0,0,0,1,0,0,1,0,1
16,Svetlana Olegovna Abrosimova,0,1,0,0,0,0,0,1,0,0,1,0,0
17,Svetlana Olegovna Abrosimova,0,0,0,1,0,0,0,1,0,0,1,0,1
18,Emilio Achacoso,1,0,0,1,0,0,0,1,0,0,1,0,0
19,Kieron Robert Achara,1,0,0,1,0,0,0,0,1,0,0,1,0
20,Natalie Chioma Achonwa,0,1,0,0,0,0,0,1,0,0,1,0,0
21,Natalie Chioma Achonwa,0,0,1,0,0,0,0,1,0,0,1,0,0
22,Roberto Acua,1,0,1,0,0,0,0,0,1,0,0,1,0
23,Adilson de Freitas Nascimento,1,1,0,0,0,0,0,1,0,0,1,0,0
24,Adilson de Freitas Nascimento,1,0,0,1,0,0,0,1,0,0,1,0,0
25,Adilson de Freitas Nascimento,1,0,0,0,1,0,0,1,0,0,1,0,0
26,Hamdi Adly El-Seoudi Ibrahim,1,0,1,0,0,0,0,1,0,0,1,0,0
27,Dainius Adomaitis,1,0,0,1,0,0,0,0,1,0,1,0,1
28,William Adornado,1,0,1,0,0,0,0,1,0,0,1,0,0
29,Rubn Adorno Melndez,1,0,1,0,0,0,0,1,0,0,1,0,0
30,Rubn Adorno Melndez,1,0,0,1,0,0,0,1,0,0,1,0,0
31,Adriana Aparecida dos Santos,0,0,1,0,0,0,0,1,0,1,0,0,0
32,Adriana Aparecida dos Santos,0,0,1,0,0,0,0,1,0,1,0,0,2
33,Adriana Aparecida dos Santos,0,0,0,1,0,0,0,1,0,1,0,0,1
34,"Adriana ""Adrianinha"" Moiss Pinto",0,0,1,0,0,0,0,1,0,1,0,0,1
35,"Adriana ""Adrianinha"" Moiss Pinto",0,0,1,0,0,0,0,1,0,1,0,0,0
36,"Adriana ""Adrianinha"" Moiss Pinto",0,0,0,1,0,0,0,1,0,1,0,0,0
37,"Adriana ""Adrianinha"" Moiss Pinto",0,0,0,0,1,0,0,1,0,1,0,0,0
38,"Adriana ""Adrianinha"" Moiss Pinto",0,0,0,0,0,1,0,1,0,1,0,0,0
39,Hamed Afagh Eslamieh,1,0,1,0,0,0,0,1,0,0,1,0,0
40,Arturo Ernesto Agard,1,0,0,0,1,0,0,1,0,0,1,0,0
41,Eduardo Nilton Agra Galvo,1,0,0,1,0,0,0,1,0,0,1,0,0
42,Judith guila Hernndez,0,1,0,0,0,0,0,1,0,0,1,0,0
43,Judith guila Hernndez,0,0,1,0,0,0,0,1,0,0,1,0,0
44,"Elisabeth ""Elisa"" Aguilar Lpez",0,0,0,1,0,0,0,1,0,1,0,0,0
45,"Elisabeth ""Elisa"" Aguilar Lpez",0,0,0,0,1,0,0,1,0,1,0,0,0
46,Michael H. G. Ah Matt,1,0,1,0,0,0,0,1,0,1,0,0,0
47,Hctor Aizpuro,1,1,0,0,0,0,0,1,0,0,1,0,0
48,Mobolaji Iyabode Akiode,0,0,1,0,0,0,0,1,0,1,0,0,0
49,"Joshua Emmanuel ""Josh"" Akognon",1,0,0,1,0,0,0,1,0,0,1,0,0
50,Armenak Alachachyan,1,0,0,0,1,0,0,1,0,1,0,0,2
51,Vladan Alanovi,1,0,1,0,0,0,0,1,0,0,1,0,2
52,Vladan Alanovi,1,0,0,1,0,0,0,1,0,0,1,0,0
53,Mohammed Al-Alaoui,1,0,1,0,0,0,0,1,0,0,1,0,0
54,Il Alben,0,0,0,1,0,0,0,1,0,1,0,0,0
55,Il Alben,0,0,0,1,0,0,0,1,0,1,0,0,0
56,Rubn Alcala,1,0,1,0,0,0,0,1,0,0,1,0,0
57,Santiago Aldama Aleson,1,0,1,0,0,0,0,0,1,0,1,0,0
58,Mario Alesini,1,0,0,1,0,0,0,1,0,0,1,0,0
